,referencing,referenced,total_refs,direct_ref,length
0,1ed6a4a10589618d4f26350f1a296ee767ceff6b,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,1,True,126.79936401362451
1,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5e07da2914783a21980ecc1cea688d1333e6b6e4,1,True,128.76477189742047
2,1ed6a4a10589618d4f26350f1a296ee767ceff6b,587a48cfd5c673dcecaafa11068867b31379568a,1,True,115.65285227309647
3,1ed6a4a10589618d4f26350f1a296ee767ceff6b,304bb526a1eed62ce34e28bdb7846a7e5b2ccd2b,1,True,102.34925107027154
4,1ed6a4a10589618d4f26350f1a296ee767ceff6b,db8d0e94175a54cd0faf93d9bee33a73f6bcdff9,1,True,112.68461345170893
5,1ed6a4a10589618d4f26350f1a296ee767ceff6b,e0f4e6a1368263582df142b025a0bc14d8a2b6dc,1,True,127.9759046880331
6,1ed6a4a10589618d4f26350f1a296ee767ceff6b,28d6b2370d930efd4c48f74bb28026b311b4777c,1,True,130.55498409761407
7,1ed6a4a10589618d4f26350f1a296ee767ceff6b,aebd8bab5cff769fed204dba35112e364a47e504,1,True,117.07359392696365
8,1ed6a4a10589618d4f26350f1a296ee767ceff6b,7c469b7f89043f4867b02938be67d786fc761827,1,True,94.47812822145603
9,1ed6a4a10589618d4f26350f1a296ee767ceff6b,1a014a076cac3c7f5d81a084e296c095f9230437,4,True,126.36303329245612
10,1ed6a4a10589618d4f26350f1a296ee767ceff6b,6a27853548e78d73eac74088bbd213a29b47772e,1,True,96.09692636830043
11,1ed6a4a10589618d4f26350f1a296ee767ceff6b,bde9ab741e1ca8e8ded4bea9422b72fa6fc3e910,2,True,85.54020722339786
12,1ed6a4a10589618d4f26350f1a296ee767ceff6b,8c25c36f141a121fb4a3765ebc5f256c46f19058,1,True,104.13472169462045
13,1ed6a4a10589618d4f26350f1a296ee767ceff6b,573580048a171654d4301e3fe25e82930971e079,2,True,125.19518121510747
14,1ed6a4a10589618d4f26350f1a296ee767ceff6b,75df1f1d045286c70ad16dc486bd65b4cde5773e,1,True,100.08687658661566
15,1ed6a4a10589618d4f26350f1a296ee767ceff6b,df4d07c1535fc9b98eff715d79dbc9d0a290e65d,1,True,107.68697554673415
16,1ed6a4a10589618d4f26350f1a296ee767ceff6b,89add45c9caad711b1972a5dab9d3f83a1c40ae4,2,True,127.80038371746296
17,1ed6a4a10589618d4f26350f1a296ee767ceff6b,218192dad90ade9b1d4389aa907fd642e698ad4e,2,True,121.47859417623899
18,1ed6a4a10589618d4f26350f1a296ee767ceff6b,4fadacdfc35d19a016e24223d778058c099f3bab,2,True,108.33133124928884
19,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3e8809e95fde05760bfe07806f37f1b0e49da32f,1,True,122.39479442396892
20,1ed6a4a10589618d4f26350f1a296ee767ceff6b,532551ab6713a9fdab7c517401dd6d81b102c3dd,1,True,121.2459615348855
21,1ed6a4a10589618d4f26350f1a296ee767ceff6b,8fb70df00c8674ff7d5dd594c6908a609c9969d6,2,True,133.89343306375338
22,1ed6a4a10589618d4f26350f1a296ee767ceff6b,329705a255360c8f86a10d909a92794ed8a0857a,5,True,118.00003792018676
23,1ed6a4a10589618d4f26350f1a296ee767ceff6b,05b82cb6c29bdd29e2c067fb81006db8dd8b9097,1,True,111.7225735398373
24,1ed6a4a10589618d4f26350f1a296ee767ceff6b,2e744656a2a84ee576a03a51bc875f6b16616728,1,True,118.48341832898062
25,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3bf6af7c8b42a205e4c9efd247317f7c2105a7bc,2,True,119.16465179938226
26,1ed6a4a10589618d4f26350f1a296ee767ceff6b,462ebec7d0865d79a74e2b61b5758a4d51b96fbf,1,True,114.69617380962
27,1ed6a4a10589618d4f26350f1a296ee767ceff6b,11cc9dd9e67a515bf612d2f75cc6b25e3be34d93,1,True,119.61465071351225
28,1ed6a4a10589618d4f26350f1a296ee767ceff6b,641a9d87b9636d4ef2e353a569ddede68bd29131,4,True,156.93577948879465
29,1ed6a4a10589618d4f26350f1a296ee767ceff6b,7095f5c714c0c6ad877162ce30c2f376ebc5e269,1,True,109.62043250565232
30,1ed6a4a10589618d4f26350f1a296ee767ceff6b,ecf833c44f118533da76ffab57b0dae6bcb0be8f,1,True,123.66365967416914
31,1ed6a4a10589618d4f26350f1a296ee767ceff6b,f3535820fdaee5ec472d1de8dcd48fecfea934cb,1,True,114.75615209132349
32,1ed6a4a10589618d4f26350f1a296ee767ceff6b,eb96fc97bbae7b5653173293438e2f4682affd34,2,True,140.42704314811633
33,1ed6a4a10589618d4f26350f1a296ee767ceff6b,63d1d9c653f8e41bde24e8287a9f67c20a18b023,1,True,118.16493975560888
34,1ed6a4a10589618d4f26350f1a296ee767ceff6b,162cf77bce9decc171163c1f7bfe5826099644c9,1,True,110.46221902315206
35,1ed6a4a10589618d4f26350f1a296ee767ceff6b,19e9dab9d90cc52ef647e0cbc668371cf1f49214,1,True,121.11848381870698
36,1ed6a4a10589618d4f26350f1a296ee767ceff6b,db7ababa8a1564b0525b56d576b0fa5d3a5c82a0,3,True,126.30143782399969
37,1ed6a4a10589618d4f26350f1a296ee767ceff6b,68cd87dc4e11543bd3d3aa05aae547cddcb3756b,6,True,124.7752036423895
38,1ed6a4a10589618d4f26350f1a296ee767ceff6b,d5cc6b80627d3248e2aef363da01747f36cf95b1,3,True,127.12475092469877
39,1ed6a4a10589618d4f26350f1a296ee767ceff6b,8fcbc38e7196b0dc8748f04cd6101e71f92c158e,8,True,141.83845487431174
40,1ed6a4a10589618d4f26350f1a296ee767ceff6b,1d10010ea7af43d59e1909d27e4e0e987264c667,1,True,126.42194281917607
41,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3500d8d44c28c316970d857b665fb42b100049c7,3,True,132.33134330204533
42,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5bb9c3ececc4417b6a5ee9cf363ae236bc03a44b,1,True,91.51314834383793
43,1ed6a4a10589618d4f26350f1a296ee767ceff6b,59d75224e55301b550b30384d63fc824b3919f4c,1,True,133.27105631952762
44,1ed6a4a10589618d4f26350f1a296ee767ceff6b,7e5e74601ac5980dbff05c30f5547960617ef81e,1,True,85.84734271437901
45,1ed6a4a10589618d4f26350f1a296ee767ceff6b,870138cbd639721270ccf1c360bad5f6d72f9a4a,4,True,99.68354087181126
46,1ed6a4a10589618d4f26350f1a296ee767ceff6b,ed91c25920779d9921d7599ec8013fe56ab759e0,1,True,133.87262179760128
47,1ed6a4a10589618d4f26350f1a296ee767ceff6b,03b7e51c52084ac1db5118342a00b5fbcfc587aa,3,True,110.0665314978102
48,1ed6a4a10589618d4f26350f1a296ee767ceff6b,7708178d34d069b58a88ea4eb13aa1f57d87bedb,3,True,105.29015276125821
49,1ed6a4a10589618d4f26350f1a296ee767ceff6b,0473a64f61a47be428b05a42c590e78da86c18d5,2,True,112.07778707482218
50,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5042cb5efad30f443adef472b8748e1b7bb0452f,8,True,111.93359179364421
51,1ed6a4a10589618d4f26350f1a296ee767ceff6b,55b96d6dc407b03a6cb749a10be0768569910fa1,2,True,114.23598333547547
52,1ed6a4a10589618d4f26350f1a296ee767ceff6b,13ee1b2e6757d29aa5b3f19c40d57163ac82d952,2,True,110.18389980720733
53,1ed6a4a10589618d4f26350f1a296ee767ceff6b,91bf62ef88c5f1308b060ae684923c8bf4db004a,4,True,119.84491740808065
54,1ed6a4a10589618d4f26350f1a296ee767ceff6b,ef5766431999a128101a1373f079916ad104230f,2,True,111.57015795294285
55,1ed6a4a10589618d4f26350f1a296ee767ceff6b,f2fe97e0f24c4a7dbb1fd8bce7f819740f8c57fd,4,True,106.76780612673022
56,1ed6a4a10589618d4f26350f1a296ee767ceff6b,1c5e37e86f2a45d85a5ed96483fe08369e5b7d9e,2,True,126.50368504642644
57,1ed6a4a10589618d4f26350f1a296ee767ceff6b,7cf137c73fbf3febc37570b2f74d1e034672a5db,5,True,127.08034682571888
58,1ed6a4a10589618d4f26350f1a296ee767ceff6b,018763e3014a55ef7b9456e8f8564671116dd89a,1,True,115.80659231426887
59,1ed6a4a10589618d4f26350f1a296ee767ceff6b,d127b36e1c7110ae8d40b5691c011bac1992b472,1,True,122.1013044531256
60,1ed6a4a10589618d4f26350f1a296ee767ceff6b,83030f1819e40215934231253d5629583cad23a8,4,True,115.57298920242805
61,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3a6ad171e0bae0c580c373494de15ad31a82e0aa,1,True,118.407747035844
62,1ed6a4a10589618d4f26350f1a296ee767ceff6b,960569fbe39644a2d5db5ce87c19474b409d1cf6,2,True,107.28524236861104
63,1ed6a4a10589618d4f26350f1a296ee767ceff6b,e2a3937c8815df556bdd605f91311e889045477b,3,True,132.25225125122628
64,1ed6a4a10589618d4f26350f1a296ee767ceff6b,27aa2a3254c6049e13724e744ab87ce57764486d,1,True,117.79289049933269
65,1ed6a4a10589618d4f26350f1a296ee767ceff6b,30755a7614148f1acf5edca72385832410c7c33a,2,True,103.64675891924406
66,1ed6a4a10589618d4f26350f1a296ee767ceff6b,df7c3e4896e24e78c46a5d62abb4c82e636bf26c,5,True,117.96578273402878
67,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5c9529259e180dea589447d9b7414a998286e1c2,5,True,84.33068047812509
68,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5cd13cdcb735b29821b463c33e4dd220899fc7f8,2,True,119.48797820193901
69,1ed6a4a10589618d4f26350f1a296ee767ceff6b,fbeea679dacf07984ee0581478973f4ac8dd7f43,1,True,110.77556839240337
70,1ed6a4a10589618d4f26350f1a296ee767ceff6b,71d51281ec16ac8feb5f22d04262858ba2cb9bc0,6,True,100.73051485177797
71,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3dabda9bee839bb5e39884e4bd7d08385e36d9b9,6,True,111.35864624000322
72,1ed6a4a10589618d4f26350f1a296ee767ceff6b,9f87a11a523e4680e61966e36ea2eac516096f23,6,True,98.25711515672188
73,1ed6a4a10589618d4f26350f1a296ee767ceff6b,c2023aaa8b6e633176cc233867b501707f5de417,4,True,97.55878810601448
74,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3ae4c114bac244e5f20b9061ada3f4248e815139,4,True,103.01709827104044
75,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3af40a20d8d39747a4f5658af2d495b5e41b5f57,5,True,116.27278626778457
