,referencing,referenced,total_refs,direct_ref
55,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,3c0e5eb7e999d9587875b74f2bde665bca57fec2,4,False
56,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,eb164d4c1bd95012bc66831a4319d98197737334,6,False
61,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,a4c8b73f5add658a08562e920ed458f96d105179,5,False
62,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
64,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,15b74acde54afc09f8401ef1d660380c2db2a7e3,5,False
65,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,1c5a74d5124a5ca91986f8991a924b53e523e08c,4,False
68,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,False
73,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,f5da5560d924b846c4035ad4112c32d1ad704819,8,False
81,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,a68ec9a74fdae7dae859e27fb711bc3c335a0d86,6,False
83,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
85,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,4c940c7726ddd513e95d808442a77396d71e9f07,8,False
86,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,cea4fb5e46aee36ff77ac5d4f0014cd8cb1bee30,9,False
87,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,f8cdc12946a1c7ce157eeba4ae899907ebad7095,4,False
89,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,148316b20fabdda8f3d0795c07ebb12986dd59da,8,False
95,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,601273c37a9670f00234f7e7092bb673e7c0b25c,6,False
99,76fd60c0ec0030080bd36a23244fe870d443a03a,689bfbdfda79e347815c3d2f9c0b80e16ff49cf5,4,False
100,76fd60c0ec0030080bd36a23244fe870d443a03a,155a9d63259f34942860f0393a306070d9664442,5,False
105,76fd60c0ec0030080bd36a23244fe870d443a03a,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
107,76fd60c0ec0030080bd36a23244fe870d443a03a,341ea24cc5456da43c0c0b8d1a6e362b31815d8f,4,False
109,76fd60c0ec0030080bd36a23244fe870d443a03a,3c0e5eb7e999d9587875b74f2bde665bca57fec2,4,False
110,76fd60c0ec0030080bd36a23244fe870d443a03a,4f2f078bcabca17203f98842c5e7912d63f451ab,4,False
112,76fd60c0ec0030080bd36a23244fe870d443a03a,eb164d4c1bd95012bc66831a4319d98197737334,6,False
