,referencing,referenced,total_refs,direct_ref
52,1ed6a4a10589618d4f26350f1a296ee767ceff6b,13ee1b2e6757d29aa5b3f19c40d57163ac82d952,2,True
53,1ed6a4a10589618d4f26350f1a296ee767ceff6b,91bf62ef88c5f1308b060ae684923c8bf4db004a,4,True
54,1ed6a4a10589618d4f26350f1a296ee767ceff6b,ef5766431999a128101a1373f079916ad104230f,2,True
55,1ed6a4a10589618d4f26350f1a296ee767ceff6b,f2fe97e0f24c4a7dbb1fd8bce7f819740f8c57fd,4,True
56,1ed6a4a10589618d4f26350f1a296ee767ceff6b,1c5e37e86f2a45d85a5ed96483fe08369e5b7d9e,2,True
57,1ed6a4a10589618d4f26350f1a296ee767ceff6b,7cf137c73fbf3febc37570b2f74d1e034672a5db,5,True
58,1ed6a4a10589618d4f26350f1a296ee767ceff6b,018763e3014a55ef7b9456e8f8564671116dd89a,1,True
59,1ed6a4a10589618d4f26350f1a296ee767ceff6b,d127b36e1c7110ae8d40b5691c011bac1992b472,1,True
60,1ed6a4a10589618d4f26350f1a296ee767ceff6b,83030f1819e40215934231253d5629583cad23a8,4,True
61,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3a6ad171e0bae0c580c373494de15ad31a82e0aa,1,True
62,1ed6a4a10589618d4f26350f1a296ee767ceff6b,960569fbe39644a2d5db5ce87c19474b409d1cf6,2,True
63,1ed6a4a10589618d4f26350f1a296ee767ceff6b,e2a3937c8815df556bdd605f91311e889045477b,3,True
64,1ed6a4a10589618d4f26350f1a296ee767ceff6b,27aa2a3254c6049e13724e744ab87ce57764486d,1,True
65,1ed6a4a10589618d4f26350f1a296ee767ceff6b,30755a7614148f1acf5edca72385832410c7c33a,2,True
66,1ed6a4a10589618d4f26350f1a296ee767ceff6b,df7c3e4896e24e78c46a5d62abb4c82e636bf26c,5,True
67,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5c9529259e180dea589447d9b7414a998286e1c2,5,True
68,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5cd13cdcb735b29821b463c33e4dd220899fc7f8,2,True
69,1ed6a4a10589618d4f26350f1a296ee767ceff6b,fbeea679dacf07984ee0581478973f4ac8dd7f43,1,True
70,1ed6a4a10589618d4f26350f1a296ee767ceff6b,71d51281ec16ac8feb5f22d04262858ba2cb9bc0,6,True
71,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3dabda9bee839bb5e39884e4bd7d08385e36d9b9,6,True
72,1ed6a4a10589618d4f26350f1a296ee767ceff6b,9f87a11a523e4680e61966e36ea2eac516096f23,6,True
73,1ed6a4a10589618d4f26350f1a296ee767ceff6b,c2023aaa8b6e633176cc233867b501707f5de417,4,True
74,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3ae4c114bac244e5f20b9061ada3f4248e815139,4,True
75,1ed6a4a10589618d4f26350f1a296ee767ceff6b,3af40a20d8d39747a4f5658af2d495b5e41b5f57,5,True
76,1ed6a4a10589618d4f26350f1a296ee767ceff6b,9d25b53735c3078a34c3c2ed4fe1193a81ed0e82,3,True
77,1ed6a4a10589618d4f26350f1a296ee767ceff6b,c9497871188157119a33aefb6fd556786a578596,5,True
78,1ed6a4a10589618d4f26350f1a296ee767ceff6b,8012c4a1e2ca663f1a04e80cbb19631a00cbab27,7,True
79,1ed6a4a10589618d4f26350f1a296ee767ceff6b,9677833ffda15c5194c9fd7366a95e977395407c,1,True
80,1ed6a4a10589618d4f26350f1a296ee767ceff6b,1d7d0e8c4791700defd4b0df82a26b50055346e0,6,True
81,1ed6a4a10589618d4f26350f1a296ee767ceff6b,cda1c82b9d48b5cc94ae5bda33e864d95b3053dd,4,True
82,1ed6a4a10589618d4f26350f1a296ee767ceff6b,605402e235bd62437baf3c9ebefe77fb4d92ee95,9,True
83,1ed6a4a10589618d4f26350f1a296ee767ceff6b,be01b49cec664c21e6789cc77d9c836e62cc3b99,6,True
84,1ed6a4a10589618d4f26350f1a296ee767ceff6b,297c253864ed74b1fb84f97e2e7a04bbcb7163d9,1,True
85,1ed6a4a10589618d4f26350f1a296ee767ceff6b,38e298647030ab32b7be33b44951d7e54cfb8091,1,True
86,1ed6a4a10589618d4f26350f1a296ee767ceff6b,89794232987d3973109ba78327a4c989a6e4970b,4,True
87,1ed6a4a10589618d4f26350f1a296ee767ceff6b,25c9f33aceac6dcff357727cbe2faf145b01d13c,2,True
88,1ed6a4a10589618d4f26350f1a296ee767ceff6b,cc26364e66f9a6ae80bbb41f0023cc53780ad0a6,5,True
89,1ed6a4a10589618d4f26350f1a296ee767ceff6b,841cd4a6cac86fa0cfb0e8542eac5ed164f23f50,1,True
90,1ed6a4a10589618d4f26350f1a296ee767ceff6b,974bf001626115b669aa92f6851d02accd8b9f00,6,True
91,1ed6a4a10589618d4f26350f1a296ee767ceff6b,0fc1a8c2f61e6c4995d30b622407029dce4c5479,1,True
92,1ed6a4a10589618d4f26350f1a296ee767ceff6b,a320b5e679ea0aacefcf847386dd8ee790ac073b,7,True
93,1ed6a4a10589618d4f26350f1a296ee767ceff6b,badb0516cf0ca095c4370a41795323e40e43372c,6,True
94,1ed6a4a10589618d4f26350f1a296ee767ceff6b,9f22cf81654dd50b95e65b86b1125cfe6803a67b,2,True
95,1ed6a4a10589618d4f26350f1a296ee767ceff6b,60944c5243db70a687a320a2622d3bd1610802a8,3,True
96,1ed6a4a10589618d4f26350f1a296ee767ceff6b,4d846b6f9b0c69835b7df701a0c0601c4c4f9477,1,True
97,1ed6a4a10589618d4f26350f1a296ee767ceff6b,5124dd060e3ba8a1c1acd96cbe2e152e058c0031,1,True
98,1ed6a4a10589618d4f26350f1a296ee767ceff6b,65f00fc243eb98d83c2e2a76f867bb4d1d3be9d5,1,True
99,1ed6a4a10589618d4f26350f1a296ee767ceff6b,86dd743c8408f216a3b40f47a9236872cd433423,6,True
100,1ed6a4a10589618d4f26350f1a296ee767ceff6b,65e5fc44c3dc000a246517e1544c703a156d44be,1,True
101,1ed6a4a10589618d4f26350f1a296ee767ceff6b,28d512cd879379adc9a5c6d7d3553c08b95e74cc,1,True
102,1ed6a4a10589618d4f26350f1a296ee767ceff6b,a598ad426924c218fb3f1a16301e3d7ee9d48cb0,1,True
103,1ed6a4a10589618d4f26350f1a296ee767ceff6b,dc9047917d1ceb3805d954c73899ddd2d40dd5eb,2,True
104,1ed6a4a10589618d4f26350f1a296ee767ceff6b,9d4ed00eb058cc134bad8a52fc6cef7d5c541d9a,2,True
105,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,6927ea92b0d759a75f0f696fa028155d6d9ee2ca,2,False
106,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,87b6b6a94d1776d478730913ed803c4c111dc563,2,False
107,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,1a014a076cac3c7f5d81a084e296c095f9230437,4,False
108,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,ec8729abaa3ae087adb950f4ae750bfe7d6fd45e,2,False
109,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,bde9ab741e1ca8e8ded4bea9422b72fa6fc3e910,2,False
110,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,573580048a171654d4301e3fe25e82930971e079,2,False
111,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,65a75403a8403742daaf03435b104783bbe282fe,1,False
112,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,54b9980a7cd587572362ebd845e571f952093d78,1,False
113,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,c3a0ebd6eb31056b15ceb398b3d50cdffa34ac4a,1,False
114,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,b7a42032320e8f9e62127ef700134ccf97697186,2,False
115,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,a931718587b83f5b965427ab48b48d819bb74422,1,False
116,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,5c2dd14c18397c27d8d370194bf905c37ed1c42a,1,False
117,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,cbbb7b76a405ed59234516775a19ad7edb89bb49,1,False
118,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,641a9d87b9636d4ef2e353a569ddede68bd29131,4,False
119,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,8978cf7574ceb35f4c3096be768c7547b28a35d0,1,False
120,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,88455568d2be8eb9b42cbfb4e4628ae7b403e565,1,False
